Dataset,AnalysisType,LLM_Cluster_Used,Model,Mean_R2,R2_StdDev,Mean_MAE,MAE_StdDev,SVI,TopFeatures
data_79_quadratic,Unassisted,N/A,LinearReg,-0.000197948429590723,0.08091544036950205,26.51703514454066,1.5214641667598257,14.705882352941176,N/A
data_79_quadratic,Unassisted,N/A,RandomForest,0.5860316385204455,0.07734632356974049,14.446550670569666,1.7645606199692805,14.705882352941176,N/A
data_79_quadratic,Unassisted,N/A,GradientBoost,0.7165394629616114,0.061052386252886025,12.16231690016783,1.36058175952903,14.705882352941176,N/A
data_79_quadratic,Assisted,cluster_gatortron,LinearReg,-0.0007400179407908514,0.09065668230349133,26.200215139043376,1.5556812207464346,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_gatortron,RandomForest,0.559979418214452,0.08319514499148452,14.970665028833986,1.809240765901362,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_gatortron,GradientBoost,0.6880832934610522,0.07149009395587956,12.77615311730558,1.4766459339772902,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_roberta,LinearReg,-0.002903409229184383,0.09028631935040046,26.397238462124072,1.498025602073779,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_roberta,RandomForest,0.5698628116283327,0.07692773789839914,14.804811540434686,1.7470046731948006,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_roberta,GradientBoost,0.6955690795033082,0.05997386605143011,12.67291495118918,1.326829746393042,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_ernie,LinearReg,0.0033482601990802176,0.08684829894154791,26.116038748970773,1.5680108466851534,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_ernie,RandomForest,0.5627632430546857,0.07835816707712724,14.911388408212709,1.6992291044421086,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_ernie,GradientBoost,0.6955331453833683,0.0603276608485598,12.633129045811891,1.3565610171349447,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_minilm,LinearReg,0.02456379490590507,0.08655751468371087,25.77092065592034,1.557570925089243,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_minilm,RandomForest,0.5704463224924083,0.0787111403924716,14.7432682306707,1.7323097894879593,14.285714285714286,N/A
