x1,x2,x3,cat1,cat2,cat3,cat4
57.46858805583632,47.16337234524046,65.80889826839943,Category_1_A,Category_2_A,Category_3_A,Category_4_B
109.37081325641864,98.76429311031052,87.87023644318715,Category_1_B,Category_2_B,Category_3_A,Category_4_A
157.3838908042784,150.68240443203229,57.435749385341545,Category_1_B,Category_2_B,Category_3_B,Category_4_A
100.61711383111198,109.94206525559557,-20.69195491488237,Category_1_B,Category_2_B,Category_3_A,Category_4_A
144.6545665595458,146.48325584580363,32.491654208504514,Category_1_B,Category_2_B,Category_3_B,Category_4_A
40.2279760855486,43.60771331089884,110.1894870197162,Category_1_A,Category_2_B,Category_3_A,Category_4_A
198.6093763658498,192.72393098853303,18.971449675113508,Category_1_B,Category_2_B,Category_3_B,Category_4_B
98.0470272007473,105.55283890495724,-5.960126381129347,Category_1_A,Category_2_A,Category_3_B,Category_4_B
150.4534934270514,142.31839417244942,16.889985872616073,Category_1_B,Category_2_B,Category_3_B,Category_4_A
99.56783591604804,91.8576924477147,22.072103513826352,Category_1_B,Category_2_A,Category_3_A,Category_4_B
101.1071294764466,109.9330073122976,-20.30426637542572,Category_1_A,Category_2_B,Category_3_A,Category_4_B
150.8677203508508,158.00465592941129,-24.164283515357933,Category_1_B,Category_2_B,Category_3_A,Category_4_B
155.21791151205858,155.8144476634399,15.10697082828741,Category_1_B,Category_2_A,Category_3_B,Category_4_B
104.24749148164182,94.942657917393,31.93898678630822,Category_1_A,Category_2_B,Category_3_B,Category_4_A
152.3936419220688,143.71853828686525,11.823341843406103,Category_1_B,Category_2_A,Category_3_B,Category_4_B
148.52183540952385,153.55820018509502,-5.720608858138228,Category_1_A,Category_2_B,Category_3_B,Category_4_B
45.78150056036176,41.15257782325959,39.86572750939474,Category_1_A,Category_2_A,Category_3_A,Category_4_B
159.47710482400893,149.42805046784804,87.79523515093865,Category_1_B,Category_2_A,Category_3_B,Category_4_B
46.67548091021341,58.35497471971197,-6.225773534709414,Category_1_A,Category_2_A,Category_3_B,Category_4_A
44.37602121639656,52.4864909323138,23.6637730281554,Category_1_B,Category_2_A,Category_3_A,Category_4_A
91.31616775574425,97.02516396759304,82.28572844014694,Category_1_B,Category_2_A,Category_3_A,Category_4_B
109.65741093106868,106.96691326758446,80.52040138294147,Category_1_B,Category_2_A,Category_3_B,Category_4_A
92.55711425850065,92.0649380999562,63.494464213723056,Category_1_A,Category_2_B,Category_3_B,Category_4_A
146.4426158640836,152.7698037844837,1.483475898493511,Category_1_B,Category_2_B,Category_3_B,Category_4_A
41.41885689500398,52.73279333998599,74.92128138283607,Category_1_A,Category_2_B,Category_3_A,Category_4_A
94.49539877936093,107.7628855199182,23.05923876809571,Category_1_B,Category_2_B,Category_3_A,Category_4_A
47.872698298872095,57.75060057062261,-10.567828620409577,Category_1_A,Category_2_B,Category_3_A,Category_4_A
157.9229000976127,144.58231188741993,77.99194311895376,Category_1_A,Category_2_B,Category_3_B,Category_4_B
46.90923223995734,48.301446088999626,10.278941126464964,Category_1_A,Category_2_A,Category_3_A,Category_4_B
159.69498874570542,146.9677269830442,93.8303079751397,Category_1_B,Category_2_B,Category_3_B,Category_4_A
190.5746409792659,206.68963448432424,75.30044422685856,Category_1_B,Category_2_B,Category_3_B,Category_4_B
147.0336947254024,149.98757050184855,18.931372684318102,Category_1_B,Category_2_B,Category_3_B,Category_4_A
97.61917778407708,104.30030320053352,0.7452229947847586,Category_1_A,Category_2_A,Category_3_B,Category_4_B
205.2832026273192,192.18651576570937,40.19470025952566,Category_1_B,Category_2_B,Category_3_B,Category_4_B
108.77607826621544,96.77114970723392,90.20222593875108,Category_1_A,Category_2_B,Category_3_B,Category_4_A
46.39379592934056,55.41215275008956,7.23909544650142,Category_1_A,Category_2_A,Category_3_A,Category_4_B
98.64951865580832,90.08821242265162,23.21563499223544,Category_1_A,Category_2_B,Category_3_B,Category_4_A
95.4029148318293,96.18962926961362,24.65402475215258,Category_1_A,Category_2_B,Category_3_B,Category_4_A
56.02111772652789,42.69092306732376,46.116331871871125,Category_1_A,Category_2_A,Category_3_A,Category_4_B
