x1,x2,x3,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
195.8933000537422,190.26784360440416,-2.3017542903382404,Category_1_A,Category_2_A,Category_3_A,Category_4_A,Category_5_B,Category_6_B,Category_7_B,Category_8_B
300.61173511210586,306.3544780357525,4.036794122281004,Category_1_B,Category_2_A,Category_3_B,Category_4_B,Category_5_B,Category_6_A,Category_7_B,Category_8_B
243.8304157389499,245.02072498270456,-1.0890604573642482,Category_1_B,Category_2_B,Category_3_B,Category_4_B,Category_5_B,Category_6_A,Category_7_A,Category_8_A
141.35800716382585,150.81468995834177,3.773301168506002,Category_1_A,Category_2_A,Category_3_A,Category_4_B,Category_5_A,Category_6_A,Category_7_B,Category_8_B
205.73970919999823,201.6932198752261,9.835672538342704,Category_1_B,Category_2_A,Category_3_B,Category_4_B,Category_5_A,Category_6_B,Category_7_A,Category_8_A
153.1266704355171,153.90701020002228,3.875583988482366,Category_1_A,Category_2_A,Category_3_B,Category_4_A,Category_5_B,Category_6_A,Category_7_A,Category_8_B
202.75041792087276,201.4424591052613,-12.343006481007931,Category_1_B,Category_2_A,Category_3_A,Category_4_B,Category_5_B,Category_6_B,Category_7_A,Category_8_A
301.5120578750607,297.9381354321168,-2.851531642651939,Category_1_B,Category_2_B,Category_3_A,Category_4_A,Category_5_B,Category_6_B,Category_7_B,Category_8_B
340.78125832377737,344.88146026979666,2.432521026904679,Category_1_B,Category_2_B,Category_3_B,Category_4_B,Category_5_B,Category_6_B,Category_7_B,Category_8_A
147.15627208967098,155.58339828762644,5.208699910659654,Category_1_A,Category_2_B,Category_3_A,Category_4_A,Category_5_A,Category_6_B,Category_7_B,Category_8_A
358.91366373636816,349.9941688842173,-4.69063058812625,Category_1_B,Category_2_B,Category_3_B,Category_4_A,Category_5_B,Category_6_B,Category_7_B,Category_8_B
91.20089360630772,92.42680390515618,12.95911473547877,Category_1_A,Category_2_B,Category_3_A,Category_4_B,Category_5_A,Category_6_A,Category_7_A,Category_8_A
107.28084207092422,103.616576125586,-3.969083856301967,Category_1_A,Category_2_A,Category_3_A,Category_4_A,Category_5_A,Category_6_B,Category_7_A,Category_8_B
257.5458105229606,242.25812001662237,7.135943189782848,Category_1_A,Category_2_B,Category_3_B,Category_4_A,Category_5_B,Category_6_B,Category_7_A,Category_8_B
141.02387331240908,147.71544165175445,-0.6304293949972044,Category_1_B,Category_2_B,Category_3_A,Category_4_A,Category_5_A,Category_6_A,Category_7_A,Category_8_B
303.0483723093131,302.37197383039074,0.8922036177232139,Category_1_B,Category_2_B,Category_3_B,Category_4_B,Category_5_A,Category_6_B,Category_7_B,Category_8_A
