x1,x2,x3,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
94.46582158307078,107.6838368922735,-243.0223304015269,Category_1_B,Category_2_A,Category_3_A,Category_4_A,Category_5_A,Category_6_B,Category_7_A,Category_8_A
200.46326682801356,194.46911743802596,-30.66806021001637,Category_1_B,Category_2_A,Category_3_B,Category_4_A,Category_5_B,Category_6_B,Category_7_A,Category_8_A
251.01402913162363,245.84446369267005,-23.216570580987703,Category_1_A,Category_2_B,Category_3_A,Category_4_B,Category_5_A,Category_6_B,Category_7_B,Category_8_B
240.9120390026561,244.8374249916584,-774.3997613572254,Category_1_B,Category_2_B,Category_3_B,Category_4_A,Category_5_A,Category_6_A,Category_7_B,Category_8_B
247.21457670695543,256.72130667492127,-75.6693250021128,Category_1_B,Category_2_B,Category_3_B,Category_4_A,Category_5_B,Category_6_A,Category_7_B,Category_8_A
194.46161883382575,209.63308481731832,-264.4914548967216,Category_1_A,Category_2_A,Category_3_A,Category_4_B,Category_5_A,Category_6_B,Category_7_B,Category_8_B
253.77452323642711,241.82443576424663,-17.987805625498154,Category_1_B,Category_2_A,Category_3_A,Category_4_B,Category_5_A,Category_6_B,Category_7_B,Category_8_B
193.274628500018,200.7588962384679,-304.2093013499445,Category_1_B,Category_2_A,Category_3_B,Category_4_A,Category_5_B,Category_6_B,Category_7_A,Category_8_A
191.40649733611,193.0617004499886,-683.8152732274347,Category_1_A,Category_2_B,Category_3_B,Category_4_B,Category_5_A,Category_6_B,Category_7_A,Category_8_A
258.8202172049168,246.87870283815244,673.467087496304,Category_1_A,Category_2_B,Category_3_B,Category_4_A,Category_5_A,Category_6_B,Category_7_B,Category_8_B
251.2736276046965,242.5287008125406,-54.25854420658551,Category_1_B,Category_2_A,Category_3_B,Category_4_B,Category_5_A,Category_6_B,Category_7_A,Category_8_B
91.55984678779974,97.84064715263408,-603.7330040967464,Category_1_B,Category_2_A,Category_3_A,Category_4_A,Category_5_A,Category_6_A,Category_7_B,Category_8_A
154.4528102224968,146.64845005029318,77.25772042803558,Category_1_A,Category_2_A,Category_3_A,Category_4_B,Category_5_A,Category_6_B,Category_7_B,Category_8_A
243.1690434704633,250.16311650250051,-308.2511759229628,Category_1_A,Category_2_B,Category_3_B,Category_4_A,Category_5_B,Category_6_A,Category_7_B,Category_8_B
245.0056261348805,256.430695371727,-172.56684142034277,Category_1_B,Category_2_B,Category_3_B,Category_4_B,Category_5_A,Category_6_B,Category_7_A,Category_8_A
195.86974512204395,207.06398715466952,-125.77101865178672,Category_1_A,Category_2_A,Category_3_B,Category_4_A,Category_5_B,Category_6_B,Category_7_B,Category_8_A
103.93221428417188,107.96775653535072,1.897508007074335,Category_1_B,Category_2_A,Category_3_A,Category_4_B,Category_5_A,Category_6_A,Category_7_A,Category_8_A
99.28528176080304,108.13647915271872,-72.81415046019818,Category_1_A,Category_2_B,Category_3_A,Category_4_A,Category_5_A,Category_6_B,Category_7_A,Category_8_A
144.3012428742868,153.95654185554943,-200.44559311000853,Category_1_A,Category_2_A,Category_3_B,Category_4_A,Category_5_A,Category_6_B,Category_7_A,Category_8_B
